Cohesion,Phi,Unit_weight,Pe,Ps,FSs,FSgmp,slope_angle,slope_height
0.745816,42.5612,19.3811,58.5247,64.6723,2.5124,2.50912,60.0,15.0
9.83685,11.2353,13.7277,94.1379,31.2032,0.663139,0.663805,75.0,9.0
13.8796,38.7894,21.9165,95.0554,3.26934,1.58416,1.58902,90.0,3.0
10.6636,28.4622,17.6289,18.9078,10.6406,1.51891,1.52338,75.0,6.0
12.2534,19.5441,19.8906,43.9558,43.8937,1.08318,1.09408,90.0,12.0
3.23937,16.5313,21.9452,63.6358,20.6631,0.565666,0.569544,90.0,12.0
17.8637,19.7209,19.7201,86.2548,32.7992,0.98739,0.987939,60.0,15.0
12.6776,22.8098,12.5394,0.462706,18.8319,1.57777,1.5849,90.0,12.0
11.3809,20.1058,12.2238,69.0935,17.9847,0.950218,0.953181,90.0,12.0
4.43397,25.5413,20.0055,48.0522,11.275,0.849903,0.850258,75.0,9.0
0.398581,30.5146,14.8254,1.52844,7.41495,0.925612,0.924285,75.0,12.0
16.6253,44.0132,14.0849,48.792,21.4016,2.85224,2.84976,75.0,6.0
16.4576,33.9403,18.7016,74.3781,42.4815,1.76757,1.76648,75.0,12.0
12.6058,33.3857,19.6961,81.5603,127.821,2.43259,2.52458,90.0,15.0
12.2511,10.582,18.4442,42.7249,37.8259,0.728228,0.734884,75.0,12.0
19.7494,19.8739,16.0279,15.6324,32.5158,1.90228,1.91871,90.0,9.0
4.38111,34.2415,16.6087,28.842,37.3628,1.89042,1.91141,90.0,9.0
8.1549,33.2661,19.7806,32.8423,48.1898,1.62155,1.63251,75.0,15.0
9.20829,24.4175,20.6234,66.4093,27.1145,1.22344,1.22377,75.0,6.0
7.72207,22.0546,17.8793,53.2716,52.4514,1.58843,1.59349,90.0,6.0
5.67701,34.5477,12.834,36.7679,44.825,2.36628,2.36146,90.0,9.0
10.0663,14.7373,12.4621,94.9442,37.8345,0.881344,0.88202,90.0,9.0
14.3861,25.3812,18.163,57.2767,44.7145,1.69485,1.69567,75.0,9.0
3.43277,13.9147,13.5565,74.712,105.769,0.944186,0.972671,90.0,15.0
12.3951,23.6497,18.2154,32.1276,3.06663,1.12658,1.12271,75.0,6.0
5.51885,13.6477,20.9262,91.5072,45.8772,0.6814,0.680313,75.0,9.0
2.5875,27.0114,16.4316,13.5022,4.83615,0.936359,0.934891,75.0,6.0
13.5004,24.086,18.9129,57.5995,0.71614,1.07023,1.06853,90.0,6.0
7.3454,37.6522,21.8121,6.25544,80.1451,2.54054,2.62199,90.0,15.0
11.2173,28.7416,15.5079,47.8922,6.56301,1.46869,1.47098,75.0,3.0
6.20864,11.4262,18.9113,1.40647,10.4297,0.797885,0.799112,75.0,6.0
11.7103,16.8772,17.1174,73.5388,7.51274,0.829087,0.827736,90.0,6.0
11.8473,18.4627,15.6552,88.0037,2.20528,0.68351,0.684683,75.0,12.0
12.4203,23.1417,18.5931,75.0806,26.3068,1.26381,1.26587,90.0,6.0
11.2791,41.5462,18.9195,95.6225,89.5826,2.60285,2.59864,75.0,15.0
0.244022,36.0905,14.7836,71.5599,5.66965,0.989725,0.990788,75.0,15.0
3.96499,25.0724,12.4926,95.8004,4.79505,0.695303,0.697537,75.0,15.0
18.2338,16.768,18.7255,48.3985,34.7794,1.06473,1.06491,75.0,12.0
9.01162,39.7398,19.6188,99.5955,9.70655,1.38877,1.39083,75.0,6.0
1.73393,43.473,17.6428,63.8339,26.9612,1.58827,1.59285,75.0,15.0
19.6769,24.3628,15.8671,29.8905,29.4277,2.39213,2.42787,75.0,6.0
4.72981,40.8176,18.7756,62.0065,15.3601,1.55935,1.56586,75.0,6.0
14.4891,32.7437,13.3004,64.1934,22.7977,1.57121,1.57306,60.0,15.0
16.5667,32.012,20.3144,34.5622,79.7398,2.15999,2.21496,90.0,15.0
16.422,22.2651,18.4373,67.6496,4.26669,1.0093,1.01191,90.0,9.0
8.26067,19.6874,15.6145,55.9538,33.515,0.981496,0.981787,60.0,15.0
8.35509,36.0604,19.4163,93.2982,49.0077,1.54784,1.54818,75.0,15.0
0.624854,31.4896,16.8493,68.03,42.568,1.19907,1.19917,75.0,15.0
13.2229,24.4337,14.3194,48.5379,129.933,2.39002,2.49895,90.0,15.0
2.33623,29.626,14.6967,32.6098,41.2595,1.72485,1.74897,75.0,9.0
3.20064,40.8896,18.8976,16.3144,37.6186,2.9661,3.05892,90.0,6.0
0.762752,24.3738,14.9525,73.9466,5.21694,0.607145,0.60786,75.0,6.0
10.3676,40.086,20.0316,56.9857,67.6261,2.54695,2.56281,75.0,12.0
7.56279,29.3271,16.8941,49.112,11.5595,1.12794,1.12557,90.0,12.0
1.42902,12.7155,14.4807,12.4152,15.6154,0.424285,0.424185,75.0,15.0
1.544,27.6554,19.2124,31.5592,1.06285,0.755885,0.756378,75.0,6.0
1.37138,12.4629,17.8082,27.979,90.5026,1.03313,1.08852,90.0,9.0
4.72981,40.8176,18.7756,62.0065,25.6001,1.7027,1.70597,75.0,9.0
16.5766,25.3205,16.5818,77.946,22.3603,1.6887,1.68731,90.0,3.0
16.6051,14.5424,16.5453,90.3759,29.5135,1.00847,1.00918,75.0,6.0
15.0717,38.2856,13.9089,74.2959,51.3186,2.90517,2.89689,90.0,6.0
19.048,30.5231,14.4105,40.9745,21.527,2.27299,2.27269,75.0,6.0
19.6905,31.1698,20.488,61.7011,4.73122,1.43616,1.43378,90.0,9.0
17.4428,31.539,18.1881,50.9934,2.12683,1.31294,1.3149,75.0,9.0
6.3693,42.9687,21.5782,23.6639,21.5925,1.74096,1.74462,60.0,15.0
18.5732,37.834,15.7881,59.5598,9.5709,2.15232,2.15245,75.0,3.0
5.12038,26.3519,15.9928,39.135,62.8158,1.86805,1.92746,90.0,9.0
3.96085,22.8721,14.6211,85.9093,14.3463,0.751127,0.751376,90.0,15.0
3.77545,36.523,20.5839,38.7831,64.4905,1.91875,1.93863,75.0,15.0
15.1392,15.8362,17.3793,35.1183,21.4225,0.919725,0.91854,90.0,12.0
19.1114,40.9227,15.7083,82.3166,23.9379,2.28125,2.28349,75.0,6.0
5.19852,39.1259,18.0989,17.9444,10.4165,2.19024,2.18914,75.0,3.0
9.39032,20.7499,15.4483,86.4604,20.2629,0.992327,0.990972,90.0,6.0
17.4889,26.5002,12.9843,29.7317,67.4994,2.30929,2.36482,75.0,15.0
8.56274,31.7462,12.9044,12.5854,1.01349,1.44936,1.44998,75.0,6.0
15.7155,29.3698,14.8285,63.3614,18.9424,1.98364,1.98401,90.0,3.0
12.7061,24.8549,19.3321,3.05683,6.37585,0.996618,0.996192,60.0,15.0
17.4155,11.7471,14.4355,9.3539,29.7409,1.0434,1.04725,90.0,15.0
0.993359,31.1347,18.4591,22.2661,94.2186,2.88548,3.01249,90.0,9.0
15.8405,29.2506,13.8204,44.9206,42.019,1.69929,1.71363,90.0,15.0
19.6905,31.1698,20.488,61.7011,2.36561,1.28836,1.29076,75.0,9.0
2.09549,19.8567,12.4533,13.7353,3.57679,0.641731,0.642342,75.0,9.0
2.54904,30.8918,20.8025,25.4986,4.2625,1.03428,1.03615,90.0,6.0
7.23719,35.1727,20.1316,96.9227,47.1853,1.53576,1.5363,90.0,12.0
13.0853,25.0346,20.5631,19.6064,58.6652,1.47509,1.50769,90.0,15.0
0.336077,28.3095,12.9534,47.563,11.9219,0.889449,0.890907,90.0,15.0
8.80739,25.354,12.6882,34.4383,13.1086,1.01642,1.01655,75.0,15.0
2.27251,13.6592,14.6344,47.2691,56.6778,0.74335,0.753979,90.0,12.0
17.4984,30.3622,15.7276,70.0969,0.635926,1.22605,1.23022,75.0,9.0
6.19213,27.8056,18.524,84.0275,88.5451,1.58999,1.5921,75.0,15.0
9.22289,42.9941,21.8181,43.0126,7.76282,1.96223,1.96377,75.0,3.0
0.417781,35.4696,18.8514,17.3363,57.323,2.08407,2.11909,60.0,15.0
11.6634,30.4756,16.4014,78.7538,7.71062,1.3741,1.37965,90.0,3.0
11.5545,21.1237,15.6505,56.896,82.2838,1.63509,1.6635,90.0,12.0
16.4174,20.4575,17.8579,67.7085,30.9358,1.23298,1.2335,75.0,9.0
1.65493,32.9264,20.8155,49.9577,20.5373,1.14223,1.14696,75.0,9.0
19.7865,13.1521,21.8941,58.4971,27.5029,0.93837,0.938962,90.0,9.0
11.2546,39.2141,15.7918,40.8287,38.891,2.48327,2.48814,90.0,9.0
