Cohesion,Phi,Unit_weight,Pe,Ps,FSs,FSgmp,slope_angle,slope_height
8.81692,11.1169,17.2271,90.18,21.337,0.487425,0.488299,60.0,15.0
6.66992,27.0619,14.3805,68.8668,48.2879,1.487,1.48682,60.0,15.0
6.96697,37.6946,17.1858,54.2939,15.1298,1.37271,1.37593,60.0,15.0
17.1441,22.5521,16.7825,74.3973,1.1506,0.865206,0.869048,60.0,15.0
18.3538,42.7421,20.9684,70.5218,79.7069,3.06751,3.06465,60.0,15.0
7.21977,35.2564,20.2365,55.6043,88.0533,2.43946,2.46239,60.0,15.0
18.6612,21.9826,19.8801,65.3746,11.3555,0.934792,0.934411,60.0,15.0
15.3053,44.8497,17.5769,44.3484,7.57696,1.77886,1.77998,60.0,15.0
9.60125,44.0814,15.758,22.8151,94.8296,4.5268,4.69459,60.0,15.0
9.05143,12.8264,21.8176,58.0777,35.1806,0.614143,0.61423,60.0,15.0
7.56279,29.3271,16.8941,49.112,9.63295,1.00543,1.0067,60.0,15.0
13.4096,11.1631,15.1115,50.3154,89.146,1.12483,1.14546,60.0,15.0
5.24751,39.7463,15.8684,15.9271,6.1491,1.34748,1.34951,60.0,15.0
18.5958,22.6724,19.5329,75.6499,62.4245,1.48189,1.48179,60.0,15.0
18.1295,29.353,18.9875,85.6033,73.0129,1.94849,1.94766,60.0,15.0
17.947,41.1798,17.5812,41.3947,54.1188,2.87095,2.86852,60.0,15.0
4.16534,24.1425,16.2609,70.2151,53.8582,1.25851,1.25821,60.0,15.0
4.98252,15.1421,16.7403,95.7718,57.7625,0.784242,0.784234,60.0,15.0
14.238,39.7247,19.0266,96.4524,81.3543,2.66689,2.66166,60.0,15.0
6.97626,43.4049,19.558,7.83141,98.0436,4.1986,4.36547,60.0,15.0
16.1357,23.9068,21.4996,25.3797,41.9018,1.38923,1.39387,60.0,15.0
15.3203,36.7075,18.6952,40.7337,71.6619,2.70708,2.73379,60.0,15.0
8.37081,16.1454,17.3411,99.2304,82.3905,1.03207,1.03126,60.0,15.0
16.1957,19.0524,21.0203,12.0986,11.8165,0.884431,0.88297,60.0,15.0
7.65979,29.5794,14.777,60.4068,82.8901,2.18603,2.21247,60.0,15.0
3.75542,35.4645,12.3702,66.9522,12.5582,1.17817,1.18209,60.0,15.0
11.2866,43.7151,20.4646,14.5643,27.4979,2.14645,2.14554,60.0,15.0
5.41326,38.2911,16.7696,75.1826,59.9524,2.22403,2.22316,60.0,15.0
2.8021,40.1699,16.1603,1.55545,62.9,3.2022,3.30483,60.0,15.0
16.9822,22.924,12.8378,7.77514,53.7045,2.27066,2.32526,60.0,15.0
10.2985,35.7827,15.2943,21.5709,81.7752,3.25415,3.38469,60.0,15.0
3.09059,23.9614,15.2718,4.1091,52.8181,1.60773,1.65188,60.0,15.0
3.55187,14.8583,13.1373,5.56422,55.6304,1.16407,1.18842,60.0,15.0
19.5986,12.492,17.8043,16.094,90.4914,1.46659,1.50515,60.0,15.0
1.41182,23.3023,16.0877,77.708,2.07679,0.559808,0.558709,60.0,15.0
6.32796,16.2179,18.5944,36.7521,45.7975,0.884331,0.883975,60.0,15.0
12.019,36.4049,14.3621,85.945,61.9516,2.34797,2.34407,60.0,15.0
12.651,35.2012,19.3568,58.6432,86.8968,2.577,2.59711,60.0,15.0
12.2854,35.2288,21.3843,85.6547,89.9982,2.33952,2.33587,60.0,15.0
14.0059,30.83,19.5949,65.254,21.7493,1.28501,1.28517,60.0,15.0
3.15261,39.0322,18.116,84.1897,54.5568,2.00944,2.00955,60.0,15.0
4.98545,10.8672,17.7275,98.8705,18.8489,0.392803,0.39599,60.0,15.0
12.155,36.4437,18.1442,5.49803,27.4306,1.90817,1.92362,60.0,15.0
9.17192,33.0305,12.6825,70.1649,24.5598,1.48711,1.48767,60.0,15.0
9.96903,25.051,16.148,41.2187,37.701,1.37764,1.37804,60.0,15.0
9.54362,31.6648,16.1137,68.2379,33.5847,1.49489,1.49634,60.0,15.0
5.39204,27.7034,12.9632,90.6827,13.2041,0.907377,0.905473,60.0,15.0
8.92854,24.2374,19.3297,51.0585,11.3113,0.856628,0.861364,60.0,15.0
4.99054,12.591,21.81,16.1045,99.0102,0.982565,1.01169,60.0,15.0
19.1222,14.4452,12.6033,33.0095,52.2955,1.48984,1.50566,60.0,15.0
8.3795,41.4513,14.5495,83.0236,51.8016,2.43912,2.43902,60.0,15.0
4.23967,43.8095,20.7823,83.5514,30.1928,1.75302,1.75667,60.0,15.0
17.8948,24.2438,12.0021,18.8327,50.3802,2.28881,2.334,60.0,15.0
16.5485,35.6557,13.2961,71.7341,73.2187,2.80095,2.79535,60.0,15.0
16.7313,41.2802,18.8277,62.3104,56.8803,2.65134,2.6491,60.0,15.0
15.4821,29.895,21.2879,53.2301,13.9535,1.17359,1.17762,60.0,15.0
13.0156,28.4429,12.5779,11.0718,77.5444,3.07365,3.18604,60.0,15.0
17.9537,31.8537,15.0529,46.0758,16.2018,1.50743,1.50827,60.0,15.0
12.3286,42.1539,16.0038,80.0763,85.8457,3.23324,3.22623,60.0,15.0
2.59474,43.3346,13.455,96.5223,31.2982,1.85692,1.86141,60.0,15.0
11.7757,14.7771,14.0261,85.0634,41.6897,0.886466,0.88606,60.0,15.0
1.80029,13.0372,18.8483,13.8903,38.7494,0.601942,0.603294,60.0,15.0
19.9331,33.093,20.2281,33.1,7.45863,1.36223,1.36061,60.0,15.0
0.762752,24.3738,14.9525,73.9466,17.3898,0.726551,0.726659,60.0,15.0
8.75148,11.9142,18.7687,63.1754,45.8448,0.680239,0.680148,60.0,15.0
2.19697,42.7147,19.1301,10.8568,57.5751,2.81159,2.86734,60.0,15.0
11.5486,14.2816,18.8545,39.5522,63.9716,1.03652,1.0413,60.0,15.0
6.57066,32.4389,18.9302,25.8661,61.1738,2.04779,2.07655,60.0,15.0
7.39349,24.0485,13.8513,15.208,34.9433,1.44853,1.45605,60.0,15.0
5.53672,23.8271,12.3546,64.2724,13.8287,0.859051,0.85981,60.0,15.0
7.54001,11.8623,14.2265,93.9771,58.9677,0.745168,0.74371,60.0,15.0
11.1732,26.8653,13.6313,30.1606,32.8482,1.60955,1.61122,60.0,15.0
1.95918,26.5903,18.1035,93.5025,64.7468,1.32416,1.32388,60.0,15.0
6.57551,42.4071,13.8835,8.90156,35.2579,2.71482,2.74599,60.0,15.0
10.9469,22.2352,20.3247,44.5837,34.3788,1.06773,1.06784,60.0,15.0
4.75411,38.3038,15.2142,17.6166,92.6677,3.71497,3.86886,60.0,15.0
0.468065,14.6787,14.1943,96.6231,56.8094,0.674306,0.674717,60.0,15.0
15.691,40.3673,15.2522,27.1635,13.8775,1.87027,1.87222,60.0,15.0
8.67369,32.6649,21.2921,41.0208,80.5151,2.19812,2.23025,60.0,15.0
9.43535,18.8152,13.6443,86.35,84.7161,1.38112,1.38001,60.0,15.0
14.7273,12.2338,12.8855,46.4317,0.804694,0.645279,0.642592,60.0,15.0
4.66743,32.9908,15.9553,64.325,26.1933,1.31502,1.31584,60.0,15.0
3.02756,21.6649,12.1088,99.6928,63.3922,1.18726,1.18701,60.0,15.0
10.7576,13.953,19.8563,27.5027,77.1799,1.09662,1.11733,60.0,15.0
13.3249,28.6261,13.141,41.8441,27.8323,1.59874,1.60048,60.0,15.0
1.17674,19.0044,21.2487,22.1604,35.4936,0.749086,0.750409,60.0,15.0
18.9065,21.7654,21.9076,10.2221,58.8835,1.6095,1.63256,60.0,15.0
6.69573,17.9035,21.2658,62.1265,75.4992,1.0672,1.06276,60.0,15.0
7.33264,28.399,16.6207,79.8488,61.5694,1.61941,1.61806,60.0,15.0
17.7624,19.8421,21.2718,41.7485,46.2994,1.22502,1.22524,60.0,15.0
10.2548,18.3554,16.7855,85.8022,40.3678,0.922836,0.923378,60.0,15.0
14.2808,16.7937,17.3076,5.06559,67.1745,1.55151,1.59193,60.0,15.0
9.97338,37.3014,21.6801,63.7643,98.5233,2.69729,2.7241,60.0,15.0
1.81007,36.5907,17.9771,53.869,75.9382,2.35377,2.36358,60.0,15.0
6.8254,18.5192,20.1958,74.0411,43.3667,0.853108,0.853581,60.0,15.0
18.1019,15.2619,12.0231,41.5638,42.2123,1.38473,1.38637,60.0,15.0
10.5779,17.1923,20.688,76.9931,87.8307,1.1598,1.15679,60.0,15.0
12.1379,33.17,21.3645,95.199,49.8389,1.624,1.62536,60.0,15.0
12.0744,13.2509,15.7834,41.3215,33.2679,0.83859,0.838844,60.0,15.0
9.64284,44.223,20.5395,84.1611,61.7232,2.59536,2.59498,60.0,15.0
17.0117,35.5198,14.3545,49.14,63.0267,2.75836,2.76259,60.0,15.0
4.93389,30.2735,14.3136,16.6783,88.6038,2.83404,2.95315,60.0,15.0
4.87422,14.7916,16.9027,79.6241,71.8458,0.880982,0.87948,60.0,15.0
1.79433,24.3951,20.6337,25.1748,71.3795,1.44579,1.47125,60.0,15.0
2.98171,13.6375,15.8216,24.9204,46.5198,0.766758,0.768834,60.0,15.0
5.01608,44.7019,15.3946,35.3637,63.6207,3.32191,3.37148,60.0,15.0
14.8782,38.1483,14.49,66.2957,7.26198,1.46448,1.47086,60.0,15.0
14.4684,19.9967,12.1136,47.7797,3.68943,0.893158,0.892673,60.0,15.0
16.6422,36.6183,17.0359,59.7658,30.8184,1.86063,1.86184,60.0,15.0
9.73257,19.5691,21.8804,6.87425,88.9903,1.58452,1.62512,60.0,15.0
9.76816,18.3866,19.377,72.3544,88.4703,1.2661,1.26866,60.0,15.0
12.5576,27.209,20.8418,95.5022,15.245,0.971707,0.975266,60.0,15.0
12.3253,36.4517,15.9775,90.5048,68.6875,2.35625,2.35124,60.0,15.0
14.486,34.1284,15.3236,33.7136,56.574,2.5112,2.54009,60.0,15.0
15.4121,19.421,19.1032,27.7293,74.2518,1.56765,1.597,60.0,15.0
16.2083,33.5636,14.5191,94.8653,78.0155,2.41829,2.4131,60.0,15.0
10.6353,38.6475,12.0852,61.4651,85.4401,3.35745,3.44465,60.0,15.0
13.6675,10.3021,14.6096,54.8501,73.0521,0.99492,1.00165,60.0,15.0
13.3911,37.3287,16.3308,19.0239,64.0559,3.00137,3.07094,60.0,15.0
16.3233,10.162,16.4718,78.0468,58.1209,0.85077,0.852426,60.0,15.0
1.87255,13.1395,14.8749,27.8006,14.5997,0.447753,0.448266,60.0,15.0
12.5553,11.833,21.3296,65.3559,36.4248,0.638351,0.638435,60.0,15.0
19.9936,28.2781,20.0161,76.1364,4.98889,1.07659,1.07955,60.0,15.0
13.973,11.5941,18.728,77.2316,35.2985,0.667037,0.666442,60.0,15.0
9.61406,39.2648,16.9934,85.1499,72.4555,2.55037,2.54916,60.0,15.0
12.9125,31.5973,14.6733,57.3701,97.7766,2.7693,2.85787,60.0,15.0
0.827081,27.6829,13.0113,30.8811,5.7877,0.747338,0.750296,60.0,15.0
14.149,22.4152,20.2178,12.7973,84.0314,1.90426,1.94819,60.0,15.0
10.7675,29.4116,16.8506,26.4425,73.1321,2.2922,2.34606,60.0,15.0
2.99257,20.3132,16.9349,34.3248,84.9251,1.4829,1.49433,60.0,15.0
4.54573,41.4958,17.8258,29.4934,12.8837,1.48016,1.48477,60.0,15.0
18.0324,40.8938,20.4217,63.3356,40.3569,2.19187,2.1928,60.0,15.0
11.6143,14.0974,17.4853,1.89167,58.7387,1.22899,1.24727,60.0,15.0
16.1391,31.9611,15.2059,22.6082,75.7085,2.93373,3.01825,60.0,15.0
14.9071,35.1709,15.2393,68.7287,43.944,2.07712,2.07709,60.0,15.0
9.26508,35.6173,21.9412,41.9757,55.9443,2.00895,2.00828,60.0,15.0
6.17592,42.8823,15.0433,94.4811,54.1778,2.43944,2.4398,60.0,15.0
12.1956,36.1571,15.2455,49.6544,3.66752,1.28896,1.29094,60.0,15.0
18.7913,33.4701,12.2719,94.8821,88.2405,2.76526,2.75668,60.0,15.0
10.1235,15.6054,15.6242,35.8912,18.6722,0.762111,0.762151,60.0,15.0
6.64158,18.9028,15.597,26.1077,47.3388,1.17339,1.18175,60.0,15.0
4.72027,34.2665,19.0226,56.79,94.966,2.45153,2.50285,60.0,15.0
2.0908,10.8904,21.8024,48.3335,18.5384,0.349831,0.351199,60.0,15.0
17.1057,34.0194,18.2138,41.6587,90.166,2.92077,2.94885,60.0,15.0
1.50396,44.0323,14.0916,18.3936,66.4448,3.66502,3.78804,60.0,15.0
12.305,37.9147,18.616,81.6215,21.6405,1.52183,1.52443,60.0,15.0
17.5253,10.5195,15.2084,68.6439,55.7942,0.945381,0.950544,60.0,15.0
9.15429,35.566,15.7982,97.9155,40.5334,1.69942,1.70258,60.0,15.0
2.78299,37.5287,20.8916,35.5439,19.9775,1.32132,1.32591,60.0,15.0
12.9868,42.7779,12.4342,47.1446,37.8422,2.78465,2.78402,60.0,15.0
16.1633,10.9225,15.852,54.5129,49.8763,0.930668,0.93102,60.0,15.0
15.0971,13.4411,20.6405,23.5508,43.0494,0.931708,0.938526,60.0,15.0
2.04752,42.5791,21.2061,67.5776,95.9825,2.9826,3.00528,60.0,15.0
1.19642,32.8731,12.6441,85.4662,34.89,1.3862,1.38965,60.0,15.0
11.052,21.3767,19.0732,72.8658,99.0645,1.5683,1.57981,60.0,15.0
11.9833,34.9785,20.802,26.133,65.5141,2.34539,2.37576,60.0,15.0
5.71627,41.8133,13.6806,87.0676,33.5411,1.95463,1.95842,60.0,15.0
19.6471,35.5992,17.7691,74.8262,46.1081,2.08154,2.08937,60.0,15.0
13.5248,29.0826,19.7225,89.7093,98.1212,2.04572,2.04388,60.0,15.0
17.2997,41.1017,20.7114,19.8955,86.9062,3.6586,3.6835,60.0,15.0
10.3035,27.9595,16.1166,73.9215,0.120149,0.88703,0.891713,60.0,15.0
4.6149,36.5262,15.8591,97.6493,38.7398,1.60763,1.61138,60.0,15.0
9.62515,32.2538,19.5437,6.69304,48.4771,1.99593,2.02377,60.0,15.0
0.532631,13.1268,12.9202,98.3317,89.5689,0.782463,0.781309,60.0,15.0
5.00512,39.5081,14.4448,3.88265,6.75345,1.41411,1.41529,60.0,15.0
8.24862,15.0678,18.7971,60.1579,23.0628,0.640535,0.637438,60.0,15.0
15.8369,39.6944,12.0,5.74066,64.8534,4.39703,4.55908,60.0,15.0
13.449,20.0809,14.2308,7.87102,34.1203,1.47842,1.4964,60.0,15.0
0.57709,24.5934,17.8587,16.0517,35.9324,1.07255,1.07389,60.0,15.0
17.9503,22.0869,18.7556,64.6038,4.11914,0.884619,0.888498,60.0,15.0
17.5805,18.7578,18.2598,62.0216,95.3877,1.60061,1.62714,60.0,15.0
10.9386,21.6493,20.8956,12.1316,85.5148,1.75356,1.78551,60.0,15.0
11.911,25.3607,18.3251,51.7561,66.2708,1.67575,1.67406,60.0,15.0
2.48858,41.5094,18.2914,30.1452,22.1155,1.63338,1.63651,60.0,15.0
12.8942,36.1631,12.5294,71.173,68.2334,2.70837,2.69806,60.0,15.0
7.6532,16.4567,14.7891,25.0001,10.213,0.685577,0.685262,60.0,15.0
11.3289,20.0978,17.2989,3.93603,44.4924,1.40303,1.42379,60.0,15.0
16.4174,20.4575,17.8579,67.7085,61.8716,1.40309,1.40066,60.0,15.0
18.0908,22.2045,20.4007,6.19466,45.8215,1.55516,1.57508,60.0,15.0
2.69965,43.0577,14.7139,76.9501,97.559,3.41696,3.47725,60.0,15.0
0.890857,40.5677,20.2029,10.8273,67.5948,2.75364,2.83206,60.0,15.0
13.7839,26.6154,17.1876,94.2179,88.8556,1.86851,1.86171,60.0,15.0
18.1234,34.5122,16.0838,73.0069,63.9254,2.39365,2.39273,60.0,15.0
14.184,11.008,20.8485,11.9949,95.1767,1.12563,1.15428,60.0,15.0
19.7299,29.9313,19.867,77.7476,2.14994,1.10537,1.10654,60.0,15.0
3.16765,10.1258,12.7428,26.8207,17.1764,0.43876,0.438764,60.0,15.0
8.04429,41.0877,21.0411,84.7429,37.0835,1.80827,1.8116,60.0,15.0
3.01105,39.1584,20.065,32.8138,91.0059,2.96604,3.0416,60.0,15.0
6.36655,32.718,12.5204,87.7838,66.8248,2.07575,2.07124,60.0,15.0
17.6865,21.976,15.3553,60.0103,64.2014,1.68777,1.68663,60.0,15.0
1.27635,32.0439,19.7127,44.0146,36.0406,1.32038,1.32061,60.0,15.0
13.5792,16.3874,14.6135,31.0504,6.27983,0.784619,0.781422,60.0,15.0
9.56808,26.0387,12.3085,14.313,88.361,2.86178,2.98412,60.0,15.0
16.0423,20.6612,14.2573,49.4068,68.6252,1.73266,1.7447,60.0,15.0
12.9896,26.662,20.6355,32.3051,35.3178,1.34705,1.34563,60.0,15.0
11.6023,12.9879,20.1664,58.0316,18.4809,0.59445,0.593043,60.0,15.0
19.4266,41.775,20.8561,53.9199,38.3925,2.26522,2.2659,60.0,15.0
4.09378,22.1173,19.2265,97.8962,54.1989,1.01121,1.01146,60.0,15.0
3.22185,14.1335,16.7952,9.55035,55.9705,0.911083,0.932494,60.0,15.0
9.52025,38.9087,14.4064,82.7056,10.8896,1.38137,1.38166,60.0,15.0
7.7263,25.5723,14.5798,53.7072,74.5851,1.83921,1.85972,60.0,15.0
