,Material 1 : Cohesion (kN/m2),Material 1 : Phi (deg),Material 1 : Unit Weight (kN/m3),Load #1 Magnitude (kN/m),Load #2 Magnitude (kN/m),Factor of Safety - spencer,Factor of Safety - gle/morgenstern-price,Unnamed: 7,slope_angle,slope_height
399,19.0153,23.7608,12.6782,13.3955,36.3753,3.06098,3.06392,,30.0,15.0
400,1.18349,15.4525,15.0637,65.8009,4.99818,0.663223,0.663559,,30.0,15.0
401,8.5742,15.9599,17.8373,19.0441,41.775,1.60936,1.60933,,30.0,15.0
402,9.9148,41.7424,18.0446,48.4805,45.4268,4.26024,4.26164,,30.0,15.0
403,19.7865,13.1521,21.8941,58.4971,13.7515,1.08287,1.08256,,30.0,15.0
404,18.911,31.0123,21.7215,56.9377,32.4594,2.62143,2.62363,,30.0,15.0
405,18.3406,24.781,19.1652,87.5639,38.7263,2.13801,2.13827,,30.0,15.0
406,19.6483,42.4854,13.4341,12.8203,36.2648,5.40729,5.40674,,30.0,15.0
407,9.20829,24.4175,20.6234,66.4093,45.1908,2.08108,2.08192,,30.0,15.0
408,10.354,36.9064,17.5977,4.24392,46.6291,4.20315,4.20171,,30.0,15.0
409,17.9305,20.4694,21.2519,69.7108,47.2164,1.93881,1.9398,,30.0,15.0
410,9.63441,39.1451,18.7532,38.3426,32.5829,3.48454,3.48731,,30.0,15.0
411,2.35115,25.107,21.1532,9.33414,45.5384,2.24893,2.24896,,30.0,15.0
412,18.2524,21.3292,18.5219,8.97955,15.8893,1.86098,1.86003,,30.0,15.0
413,2.41327,14.0503,21.1953,26.7138,39.5169,1.11841,1.1187,,30.0,15.0
414,1.84751,43.2833,20.5229,82.5902,27.6349,3.10468,3.10741,,30.0,15.0
415,3.87968,42.5662,13.9035,69.1655,11.7483,2.61908,2.62289,,30.0,15.0
416,10.3563,26.5866,17.8625,35.2019,46.9702,2.67038,2.67062,,30.0,15.0
417,16.9071,22.7653,15.3291,3.91235,4.9874,1.74978,1.74886,,30.0,15.0
418,19.4902,35.4342,20.6251,43.0894,0.876735,2.01518,2.01394,,30.0,15.0
419,9.88396,42.3358,16.4084,91.8242,28.4639,3.31198,3.31565,,30.0,15.0
420,18.9424,36.0515,14.8224,14.2388,24.206,3.67666,3.67708,,30.0,15.0
421,6.62569,20.5772,18.1057,80.3703,33.3198,1.52159,1.52142,,30.0,15.0
422,10.2255,15.5698,14.4779,17.1277,46.6423,1.86485,1.86721,,30.0,15.0
423,10.5394,44.631,14.6875,56.5149,1.56065,2.41426,2.41907,,30.0,15.0
424,0.0125883,22.5676,13.3566,8.71291,10.4639,1.29801,1.29844,,30.0,15.0
425,16.859,11.6593,17.294,87.6001,40.9685,1.20013,1.20119,,30.0,15.0
426,10.0407,31.5312,18.2067,64.6485,36.8805,2.65758,2.66044,,30.0,15.0
427,17.7846,27.256,16.5513,60.1892,23.5458,2.26094,2.26315,,30.0,15.0
428,1.63092,23.1629,21.0309,91.755,37.5109,1.56116,1.56376,,30.0,15.0
429,6.85079,35.0382,19.8223,64.782,10.0945,1.96388,1.96281,,30.0,15.0
430,16.7426,33.5929,18.1482,33.7847,33.9851,3.22148,3.22419,,30.0,15.0
431,0.833156,21.2946,15.0395,36.9393,43.829,1.90624,1.90645,,30.0,15.0
432,11.4777,26.7923,15.8032,58.0031,26.246,2.1609,2.16014,,30.0,15.0
433,0.796927,11.3059,19.4958,43.5195,13.9601,0.596199,0.5986,,30.0,15.0
434,13.3504,40.9727,20.7047,26.8605,41.8596,4.14057,4.14127,,30.0,15.0
435,4.51306,44.0727,12.0503,89.5987,34.7054,3.79564,3.79959,,30.0,15.0
436,18.4699,18.1245,16.548,31.348,7.42053,1.43644,1.43626,,30.0,15.0
437,16.3358,38.632,17.2026,19.6669,24.0189,3.56522,3.56674,,30.0,15.0
438,12.9105,33.1593,12.753,88.663,33.5949,2.82519,2.82742,,30.0,15.0
439,14.1106,41.4087,14.0225,65.0147,35.4798,4.03022,4.03387,,30.0,15.0
440,16.102,40.4448,16.6969,74.2531,27.5878,3.39301,3.39507,,30.0,15.0
441,1.39254,12.5984,17.5683,80.155,42.0695,0.924319,0.924825,,30.0,15.0
442,8.3388,13.6118,18.4821,14.2466,46.3135,1.44056,1.44035,,30.0,15.0
443,5.38856,23.9777,14.8483,43.1308,38.314,2.16522,2.166,,30.0,15.0
444,3.43098,36.8948,18.1871,37.2375,37.2597,3.26433,3.26714,,30.0,15.0
445,9.81336,21.891,20.8698,59.387,12.7442,1.33475,1.33677,,30.0,15.0
446,17.3522,22.9741,17.7109,52.2882,34.4994,2.15771,2.1584,,30.0,15.0
447,3.88048,41.672,21.2611,56.1405,34.8373,3.41525,3.41785,,30.0,15.0
448,16.8102,18.0939,21.9227,14.5807,27.7356,1.66455,1.66117,,30.0,15.0
449,5.71116,16.621,13.0073,43.3958,32.998,1.50521,1.50568,,30.0,15.0
450,14.8444,26.6445,15.3525,6.80277,10.2536,2.11038,2.11663,,30.0,15.0
451,16.396,12.5897,14.5599,62.2147,38.0281,1.41857,1.4187,,30.0,15.0
452,18.8759,30.4724,12.4655,39.8629,11.4493,2.49831,2.50276,,30.0,15.0
453,15.574,37.581,16.9282,13.838,12.9331,2.95645,2.95737,,30.0,15.0
454,14.6384,35.9875,19.4479,87.3388,39.9436,3.06337,3.06662,,30.0,15.0
455,19.2915,26.483,13.934,88.5457,32.6083,2.36462,2.36341,,30.0,15.0
456,16.6636,29.0219,17.3807,95.7368,28.3392,2.23686,2.24001,,30.0,15.0
457,7.77498,10.4483,14.7573,20.8618,13.9777,0.88701,0.88668,,30.0,15.0
458,11.2048,42.4747,14.9741,74.4456,8.86504,2.62868,2.62985,,30.0,15.0
459,17.1169,22.8291,15.8263,50.0796,32.8721,2.21381,2.21452,,30.0,15.0
460,16.4314,28.5415,18.9451,49.6603,24.314,2.30964,2.31085,,30.0,15.0
461,17.0696,12.6181,21.0038,1.0948,4.69694,1.02806,1.02845,,30.0,15.0
462,11.9767,22.0629,16.1267,31.661,42.6575,2.30904,2.30918,,30.0,15.0
463,4.22508,40.9071,16.4157,53.6016,18.1589,2.85414,2.85644,,30.0,15.0
464,14.0762,26.4894,14.093,33.6765,40.5538,2.90407,2.90428,,30.0,15.0
465,14.277,20.809,17.862,78.8397,12.6785,1.37759,1.37858,,30.0,15.0
